# mapping_set_id: https://w3id.org/oo-ld/schemas/mappings/pmdco.sssom.tsv
# mapping_set_version: 2026.08.24
# mapping_set_title: pmdco mappings for the OO-LD reference schemas
# license: https://creativecommons.org/publicdomain/zero/1.0/
# mapping_provider: https://github.com/OO-LD/oold-reference-schemas
# curie_map:
#   obo: http://purl.obolibrary.org/obo/
#   pmd: https://w3id.org/pmd/co/
#   semapv: https://w3id.org/semapv/vocab/
#   skos: http://www.w3.org/2004/02/skos/core#
subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	subject_source	subject_source_version	object_source	object_source_version	comment
/ChemicalComposition.schema.json#/properties/components/items	ChemicalComponent	skos:closeMatch	pmd:PMD_0020102	mass ratio	semapv:ManualMappingCuration	https://w3id.org/oo-ld/schemas/materials	0.2.0		https://w3id.org/pmd/co/3.1.0	mass ratio, while the amount is a mass fraction
/ChemicalComposition.schema.json	ChemicalComposition	skos:closeMatch	pmd:PMD_0000551	chemical composition	semapv:ManualMappingCuration	https://w3id.org/oo-ld/schemas/materials	0.2.0		https://w3id.org/pmd/co/3.1.0	chemical composition is a quality of the material, not a symbolic construct
https://w3id.org/oo-ld/schemas/quantities#Diameter	Diameter	skos:closeMatch	obo:PATO_0001334	diameter	semapv:ManualMappingCuration	https://w3id.org/oo-ld/schemas/quantities	0.3.0			PATO diameter is a length quality of a bearer, not a value with a unit
https://w3id.org/oo-ld/schemas/quantities#Length	Length	skos:closeMatch	obo:PATO_0000122	length	semapv:ManualMappingCuration	https://w3id.org/oo-ld/schemas/quantities	0.3.0			PATO length is a quality inhering in a bearer, not a value with a unit
https://w3id.org/oo-ld/schemas/quantities#MassFraction	MassFraction	skos:closeMatch	pmd:PMD_0025997	fraction value specification	semapv:ManualMappingCuration	https://w3id.org/oo-ld/schemas/quantities	0.3.0		https://w3id.org/pmd/co/3.1.0	fraction value specification is an information entity, so the match is close rather than exact
/Material.schema.json	Material	skos:exactMatch	pmd:PMD_0000000	material	semapv:ManualMappingCuration	https://w3id.org/oo-ld/schemas/materials	0.2.0		https://w3id.org/pmd/co/3.1.0	
/MaterialComposition.schema.json#/properties/components/items	MaterialComponent	skos:closeMatch	pmd:PMD_0020102	mass ratio	semapv:ManualMappingCuration	https://w3id.org/oo-ld/schemas/materials	0.2.0		https://w3id.org/pmd/co/3.1.0	mass ratio; the constituent is the portion it is a quality of
https://w3id.org/oo-ld/schemas/quantities#QuantityValue	QuantityValue	skos:exactMatch	obo:OBI_0001931	scalar value specification	semapv:ManualMappingCuration	https://w3id.org/oo-ld/schemas/quantities	0.3.0			
/Composition.schema.json#/$defs/Component/properties/amount	amount	skos:exactMatch	pmd:PMD_0000077	specified by value	semapv:ManualMappingCuration	https://w3id.org/oo-ld/schemas/materials	0.2.0			specified by value
https://w3id.org/oo-ld/schemas/quantities#ampere	ampere	skos:exactMatch	obo:UO_0000011	ampere	semapv:ManualMappingCuration	https://w3id.org/oo-ld/schemas/quantities	0.3.0			UO ampere
/Material.schema.json#/properties/chemical_composition	chemical_composition	skos:exactMatch	obo:RO_0000080	quality of	semapv:ManualMappingCuration	https://w3id.org/oo-ld/schemas/materials	0.2.0			quality of, stated from the composition
/MaterialComposition.schema.json#/properties/components/items/properties/constituent	constituent	skos:closeMatch	pmd:PMD_0025999	relational quality of	semapv:ManualMappingCuration	https://w3id.org/oo-ld/schemas/materials	0.2.0		https://w3id.org/pmd/co/3.1.0	relational quality of; a Material is a portion of matter in PMDco
https://w3id.org/oo-ld/schemas/quantities#hour	hour	skos:exactMatch	obo:UO_0000032	hour	semapv:ManualMappingCuration	https://w3id.org/oo-ld/schemas/quantities	0.3.0			UO hour
https://w3id.org/oo-ld/schemas/quantities#kilo_metre	kilo_metre	skos:exactMatch	obo:UO_0010066	kilometer	semapv:ManualMappingCuration	https://w3id.org/oo-ld/schemas/quantities	0.3.0			UO kilometer; UO units are classes, punning as in EMMO#377
/Material.schema.json#/properties/material_composition	material_composition	skos:closeMatch	obo:RO_0000080	quality of	semapv:ManualMappingCuration	https://w3id.org/oo-ld/schemas/materials	0.2.0			quality of; EMMO has no composition over portions
https://w3id.org/oo-ld/schemas/quantities#metre	metre	skos:exactMatch	obo:UO_0000008	meter	semapv:ManualMappingCuration	https://w3id.org/oo-ld/schemas/quantities	0.3.0			UO meter; UO units are classes, punning as in EMMO#377
https://w3id.org/oo-ld/schemas/quantities#micro_metre	micro_metre	skos:exactMatch	obo:UO_0000017	micrometer	semapv:ManualMappingCuration	https://w3id.org/oo-ld/schemas/quantities	0.3.0			UO micrometer; UO units are classes, punning as in EMMO#377
https://w3id.org/oo-ld/schemas/quantities#milli_ampere	milli_ampere	skos:exactMatch	obo:UO_0000037	milliampere	semapv:ManualMappingCuration	https://w3id.org/oo-ld/schemas/quantities	0.3.0			UO milli ampere
https://w3id.org/oo-ld/schemas/quantities#milli_metre	milli_metre	skos:exactMatch	obo:UO_0000016	millimeter	semapv:ManualMappingCuration	https://w3id.org/oo-ld/schemas/quantities	0.3.0			UO millimeter; UO units are classes, punning as in EMMO#377
https://w3id.org/oo-ld/schemas/quantities#milli_second	milli_second	skos:exactMatch	obo:UO_0000028	millisecond	semapv:ManualMappingCuration	https://w3id.org/oo-ld/schemas/quantities	0.3.0			UO millisecond
https://w3id.org/oo-ld/schemas/quantities#milli_volt	milli_volt	skos:exactMatch	obo:UO_0000247	millivolt	semapv:ManualMappingCuration	https://w3id.org/oo-ld/schemas/quantities	0.3.0			UO milli volt
https://w3id.org/oo-ld/schemas/quantities#part_per_million	part_per_million	skos:exactMatch	obo:UO_0000169	parts per million	semapv:ManualMappingCuration	https://w3id.org/oo-ld/schemas/quantities	0.3.0			UO parts per million
https://w3id.org/oo-ld/schemas/quantities#percent	percent	skos:exactMatch	obo:UO_0000163	mass percentage	semapv:ManualMappingCuration	https://w3id.org/oo-ld/schemas/quantities	0.3.0			UO mass percentage
https://w3id.org/oo-ld/schemas/quantities#second	second	skos:exactMatch	obo:UO_0000010	second	semapv:ManualMappingCuration	https://w3id.org/oo-ld/schemas/quantities	0.3.0			UO second; UO units are classes, punning like EMMO#377
https://w3id.org/oo-ld/schemas/quantities#unit	unit	skos:closeMatch	obo:IAO_0000039	has measurement unit label	semapv:ManualMappingCuration	https://w3id.org/oo-ld/schemas/quantities	0.3.0			range is iao:measurement unit label; unit-label vs QUDT-IRI mapping needed
https://w3id.org/oo-ld/schemas/quantities#value	value	skos:exactMatch	obo:OBI_0001937	has specified numeric value	semapv:ManualMappingCuration	https://w3id.org/oo-ld/schemas/quantities	0.3.0			
https://w3id.org/oo-ld/schemas/quantities#volt	volt	skos:exactMatch	obo:UO_0000218	volt	semapv:ManualMappingCuration	https://w3id.org/oo-ld/schemas/quantities	0.3.0			UO volt
